Month Year,Value of Import
Feb-20,75836
Mar-20,106695
Apr-20,93733
May-20,122331
Jun-20,89794
Jul-20,66335
Aug-20,61715
Sep-20,87305
Oct-20,111782
Nov-20,115656
Dec-20,128823
Jan-21,109252
Feb-21,112305
Mar-21,115099
Apr-21,94671
May-21,118536
Jun-21,108001
Jul-21,81897
Aug-21,98620
Sep-21,85452
Oct-21,131631
Nov-21,120896
Dec-21,149556
Jan-22,146751
Feb-22,177513
Mar-22,185460
Apr-22,197431
May-22,119075
Jun-22,181707
